"ROM","PRESET #","PRESET NAME","RIFF NAME","ARP NAME","PRESET LAYER","INST #","INST NAME","SAMPLE NAMES"
"2500","256","key:Tines","ORG-Latin 1","Lily's 16ths","1","293","wav:Metal 1","Metal Wave 1 D6"
"2500","256","key:Tines","ORG-Latin 1","Lily's 16ths","2","12","epo:Tine EP","Tine EP Bb1 -- Tine EP Bb2 -- Tine EP G3 -- Tine EP C4 -- Tine EP G4"
"2500","257","led:Wormy","LED-Q Snapper","Presenting","1","368","wav:Low Evens","Low Evens E4"
"2500","258","led:Warning!","BAS-Mr. Clean","Speed Jumper","1","389","pad:JP6 Pad","Jup 6 BuzzPad G3 -- Jup 6 BuzzPad G5"
"2500","258","led:Warning!","BAS-Mr. Clean","Speed Jumper","2","343","wav:Juno Pulse","J60 Pwm A0 -- J60 Pwm A1 -- J60 Pwm A2 -- J60 Pwm A3 -- J60 Pwm A5"
"2500","259","led:Warm Worm","GTR-Distorter-X","L Town 3","1","346","wav:Worm Lead 3","Worm 7 C4 -- Worm 8 C6"
"2500","260","hit:Organ Hits 1","BAS-SE Micro","IN & OUT","1","403","hit:Organ Hits 2","Org Hit 1 Am7 -- Org Hit"
"2500","261","hit:Dance Chord","KEY-C3 (4 Bars)","Classic 2","1","39","org:Day","Org Day G2 -- Org Day G5"
"2500","262","hit:Voxxy","VOX-Lo-Fi Ether","STOP&GO","1","411","hit:Vox Hits 2","Odd Voice Amin -- Vox Chord Gm7"
"2500","263","hit:Garagiste","BAS-SE Micro","Minor 1","1","415","hit:Organ Hit 2","Warm Hit Emin"
"2500","263","hit:Garagiste","BAS-SE Micro","Minor 1","2","69","sub:Full Octave","Full Oct Bass C2"
"2500","263","hit:Garagiste","BAS-SE Micro","Minor 1","3","350","wav:Sinusoid","Sine E0 -- Sine E1 -- Sine E2 -- Sine E3 -- Sine E4 -- Sine E5 -- Sine E6 -- Sine E7"
"2500","264","hit:HellaBoom","KEY-C3","ROUNDABOUT","1","428","hit:Brass Hit 3","Stab"
"2500","265","hit:Honker","KEY-Cmaj7","Pond 8","1","235","brs:Alt TptLoops","Trumpet Snip -- Wack Trumpet"
"2500","265","hit:Honker","KEY-Cmaj7","Pond 8","2","22","epo:EP Fog","Old EP Fog"
"2500","265","hit:Honker","KEY-Cmaj7","Pond 8","3","442","hit:Brass Hit 17","Riffffff"
"2500","266","hit:Cazio Jamin!","KEY-C3 (4 Bars)","Cascade Up","1","1,074","prc:Bell 9","808 Cowbell"
"2500","266","hit:Cazio Jamin!","KEY-C3 (4 Bars)","Cascade Up","2","193","gtr:Funky Hit","Gtr Funky Hit"
"2500","266","hit:Cazio Jamin!","KEY-C3 (4 Bars)","Cascade Up","3","185","gtr:Gtr Up Strk","Gtr Up Stroke"
"2500","266","hit:Cazio Jamin!","KEY-C3 (4 Bars)","Cascade Up","4","439","hit:Brass Hit 14","High Hit"
"2500","267","hit:EchoOrgan","KEY-C3 (4 Bars)","Stammer","1","20","epo:EP Roll 2","EP Old Roll"
"2500","267","hit:EchoOrgan","KEY-C3 (4 Bars)","Stammer","2","203","gtr:Sad Guitar","Sad Guitar"
"2500","267","hit:EchoOrgan","KEY-C3 (4 Bars)","Stammer","3","53","sub:Bass Hum","Bass Hum F#0"
"2500","268","hit:Get Funky!","KEY-C3 (4 Bars)","Wreave","1","240","brs:ClassicBrass","BrassClassic F#3 -- BrassClassic G#3"
"2500","268","hit:Get Funky!","KEY-C3 (4 Bars)","Wreave","2","448","hit:Hit On It","Hit On It"
"2500","268","hit:Get Funky!","KEY-C3 (4 Bars)","Wreave","3","421","hit:Bass Stab 2","Bass Stab 2 A"
"2500","268","hit:Get Funky!","KEY-C3 (4 Bars)","Wreave","4","198","gtr:Slide Riff","Gtr Slide Riff"
"2500","269","hit:Sad Ending","KEY-C3","3 On Groove","1","420","hit:Bass Stab 1","Bass Stab 1 A"
"2500","269","hit:Sad Ending","KEY-C3","3 On Groove","2","467","hit:Drum Stall","Drum Stall"
"2500","269","hit:Sad Ending","KEY-C3","3 On Groove","3","444","hit:Brass Hit 19","Brass Shot"
"2500","270","hit:Vox Hits","KEY-Cs Up-Down","Arp Major","1","411","hit:Vox Hits 2","Odd Voice Amin -- Vox Chord Gm7"
"2500","271","hit:Brassist","BOW-Nervosa","Pond 9","1","436","hit:Brass Hit 11","Dance Brassy Hit"
"2500","272","hit:Lush Dance","PAD-Sophia","Diddy 1","1","85","bas:Stereo VP 1","VP Bass 1 A2 -- VP Bass 1 A4"
"2500","272","hit:Lush Dance","PAD-Sophia","Diddy 1","2","50","org:Dance","Dance Organ C1 -- Dance Organ C4"
"2500","272","hit:Lush Dance","PAD-Sophia","Diddy 1","3","397","pad:Dance Chord","Dance Chord Csus"
"2500","273","bas:PWM Oldskool","ORG-Fusion","Orbis","1","95","bas:Mini 4","Mini Saw 4 D#0"
"2500","274","bas:Octave Cat","BAS-Distorto-TB","Trimatic","1","102","bas:Fat Sunbass","Fat Sunbass G0"
"2500","275","led:FusionMini","LED-Quacker","Circular","1","10","epo:Wurlitzer Hd","Wurly Hard C1 -- Wurly Hard A1 -- Wurly Hard D#2 -- Wurly Hard A2 -- Wurly Hard C3 -- Wurly Hard F#3 -- Wurly Hard C4 -- Wurly Hard C6"
"2500","275","led:FusionMini","LED-Quacker","Circular","2","330","wav:Mini Lead","Mini Lead A1 -- Mini Lead A4"
"2500","276","led:HippoSauce","CMB-Cosmovivor a","Bad Fad","1","246","wnd:Flute","Flute D3 -- Flute D4 -- Flute D5 -- Flute A5"
"2500","276","led:HippoSauce","CMB-Cosmovivor a","Bad Fad","2","256","wnd:Bari Sax 2","Bari Sax Db1"
"2500","276","led:HippoSauce","CMB-Cosmovivor a","Bad Fad","3","341","wav:Square Lead","Square Lead D5"
"2500","277","vox:REBman","KEY-C3","ON A TRIP","1","281","vox:Mmm Hmm","Mmm Hmm"
"2500","278","vox:Aah 1","VOX-Ahhs","Rose Groove","1","265","vox:Pop Aahs","Aahs D#2 -- Aahs A2 -- Aahs D#3 -- Aahs F#3 -- Aahs C4 -- Aahs D#4 -- Aahs C3 -- Aahs F6"
"2500","279","vox:Aah 2","VOX-Mist","Polytone 1","1","265","vox:Pop Aahs","Aahs D#2 -- Aahs A2 -- Aahs D#3 -- Aahs F#3 -- Aahs C4 -- Aahs D#4 -- Aahs C3 -- Aahs F6"
"2500","279","vox:Aah 2","VOX-Mist","Polytone 1","2","273","vox:Vox Synth","Vox Synth C3 -- Vox Synth C6"
"2500","280","vox:Ooh 1","VOX-Lo-Fi Ether","Splastik","1","264","vox:Pop Oohs","Oohs F#2 -- Oohs A2 -- Oohs C3 -- Oohs D#3 -- Oohs F#3 -- Oohs A3 -- Oohs D#4 -- Oohs F6"
"2500","280","vox:Ooh 1","VOX-Lo-Fi Ether","Splastik","2","266","vox:Soul Oohs","Soul Ooh C3"
"2500","281","vox:Ooh 2","VOX-Frozen Time","Arpsidy 2","1","264","vox:Pop Oohs","Oohs F#2 -- Oohs A2 -- Oohs C3 -- Oohs D#3 -- Oohs F#3 -- Oohs A3 -- Oohs D#4 -- Oohs F6"
"2500","281","vox:Ooh 2","VOX-Frozen Time","Arpsidy 2","2","266","vox:Soul Oohs","Soul Ooh C3"
"2500","282","vox:Filter 1","KEY-C3 (4 Bars)","GV 3 Melody","1","265","vox:Pop Aahs","Aahs D#2 -- Aahs A2 -- Aahs D#3 -- Aahs F#3 -- Aahs C4 -- Aahs D#4 -- Aahs C3 -- Aahs F6"
"2500","282","vox:Filter 1","KEY-C3 (4 Bars)","GV 3 Melody","2","273","vox:Vox Synth","Vox Synth C3 -- Vox Synth C6"
"2500","282","vox:Filter 1","KEY-C3 (4 Bars)","GV 3 Melody","3","266","vox:Soul Oohs","Soul Ooh C3"
"2500","282","vox:Filter 1","KEY-C3 (4 Bars)","GV 3 Melody","4","270","vox:VS Wave","VS44 Wave C3"
"2500","283","vox:Filter 2","KEY-C3 (4 Bars)","RAPTOR","1","265","vox:Pop Aahs","Aahs D#2 -- Aahs A2 -- Aahs D#3 -- Aahs F#3 -- Aahs C4 -- Aahs D#4 -- Aahs C3 -- Aahs F6"
"2500","283","vox:Filter 2","KEY-C3 (4 Bars)","RAPTOR","2","273","vox:Vox Synth","Vox Synth C3 -- Vox Synth C6"
"2500","283","vox:Filter 2","KEY-C3 (4 Bars)","RAPTOR","3","266","vox:Soul Oohs","Soul Ooh C3"
"2500","283","vox:Filter 2","KEY-C3 (4 Bars)","RAPTOR","4","270","vox:VS Wave","VS44 Wave C3"
"2500","284","vox:Filter 3","KEY-C3 (4 Bars)","CONTROL 2","1","265","vox:Pop Aahs","Aahs D#2 -- Aahs A2 -- Aahs D#3 -- Aahs F#3 -- Aahs C4 -- Aahs D#4 -- Aahs C3 -- Aahs F6"
"2500","284","vox:Filter 3","KEY-C3 (4 Bars)","CONTROL 2","2","273","vox:Vox Synth","Vox Synth C3 -- Vox Synth C6"
"2500","284","vox:Filter 3","KEY-C3 (4 Bars)","CONTROL 2","3","266","vox:Soul Oohs","Soul Ooh C3"
"2500","284","vox:Filter 3","KEY-C3 (4 Bars)","CONTROL 2","4","270","vox:VS Wave","VS44 Wave C3"
"2500","285","vox:Filter 4","KEY-C3 (4 Bars)","GirlyGirl","2","273","vox:Vox Synth","Vox Synth C3 -- Vox Synth C6"
"2500","285","vox:Filter 4","KEY-C3 (4 Bars)","GirlyGirl","4","270","vox:VS Wave","VS44 Wave C3"
"2500","286","vox:Big Chorus","VOX-Mist","Numan 2 Bar","1","272","vox:Jax Breath","Jack's Breath D3"
"2500","286","vox:Big Chorus","VOX-Mist","Numan 2 Bar","2","265","vox:Pop Aahs","Aahs D#2 -- Aahs A2 -- Aahs D#3 -- Aahs F#3 -- Aahs C4 -- Aahs D#4 -- Aahs C3 -- Aahs F6"
"2500","286","vox:Big Chorus","VOX-Mist","Numan 2 Bar","3","264","vox:Pop Oohs","Oohs F#2 -- Oohs A2 -- Oohs C3 -- Oohs D#3 -- Oohs F#3 -- Oohs A3 -- Oohs D#4 -- Oohs F6"
"2500","287","vox:Talk to Me","BAS-BadTube","MENACEBEAT2b","1","272","vox:Jax Breath","Jack's Breath D3"
